ID;ID_SETUPMETER;ID_PERIOD;ID_SETUPCONSUMER;ID_LAST_READING;READING_LAST;DATE_LAST;READING_NEXT;DATE_NEXT;KWH;CREATED;UPDATED;ID_USR;COMMENT;TRANS_WORK;ID_TURNOFF_TYPE
4324;252;1;5883;NULL;5393,0000000;NULL;5393,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;126;NULL;1;0
4325;253;1;6675;NULL;13760,0000000;NULL;13790,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;126;NULL;1;0
4326;255;1;18974;NULL;8761,0000000;NULL;9138,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;126;NULL;1;0
4327;256;1;6986;NULL;935,0000000;NULL;957,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4328;257;1;27568;NULL;19491,0000000;NULL;20935,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4329;260;1;26388;NULL;27829,0000000;NULL;30132,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4330;262;1;27586;NULL;28877,0000000;NULL;30826,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4331;263;1;27795;NULL;1352,0000000;NULL;1360,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4332;264;1;10202;NULL;46910,0000000;NULL;48432,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4333;265;1;28928;NULL;2745,0000000;NULL;2822,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4334;266;1;7472;NULL;25180,0000000;NULL;25500,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;158;NULL;1;0
4335;267;1;10217;NULL;54,1200000;NULL;59,3000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;127;NULL;1;0
